time;gFx;gFy;gFz;TgF
0.0030;-0.0151;0.0415;1.0004;1.001
0.0040;-0.0142;0.0418;1.0007;1.002
0.0060;-0.0129;0.0420;1.0004;1.001
0.0210;-0.0112;0.0418;0.9987;1.000
0.0230;-0.0100;0.0415;0.9973;0.998
0.0240;-0.0083;0.0413;0.9958;0.997
0.0270;-0.0112;0.0413;0.9982;0.999
0.0280;-0.0151;0.0415;1.0017;1.003
0.0300;-0.0188;0.0418;1.0014;1.002
0.0540;-0.0230;0.0420;1.0012;1.002
0.0560;-0.0227;0.0420;0.9992;1.000
0.0590;-0.0186;0.0418;0.9965;0.998
0.0600;-0.0147;0.0415;0.9975;0.998
0.1110;-0.0112;0.0410;0.9985;0.999
0.1130;-0.0090;0.0408;0.9973;0.998
0.1140;-0.0107;0.0408;0.9968;0.998
0.1300;-0.0132;0.0408;0.9970;0.998
0.1320;-0.0154;0.0413;0.9975;0.998
0.1330;-0.0164;0.0415;0.9985;0.999
0.1340;-0.0178;0.0418;0.9997;1.001
0.1360;-0.0176;0.0420;1.0002;1.001
0.1500;-0.0171;0.0420;1.0004;1.001
0.1980;-0.0151;0.0418;1.0004;1.001
0.1990;-0.0127;0.0415;1.0002;1.001
0.2140;-0.0117;0.0410;0.9992;1.000
0.2150;-0.0120;0.0408;0.9992;1.000
0.2190;-0.0137;0.0408;0.9995;1.000
0.2200;-0.0161;0.0413;0.9997;1.001
0.2230;-0.0176;0.0415;1.0004;1.001
0.2370;-0.0178;0.0415;1.0002;1.001
0.2390;-0.0169;0.0420;0.9995;1.000
0.2410;-0.0139;0.0415;0.9990;1.000
0.2560;-0.0115;0.0415;0.9987;1.000
0.2570;-0.0103;0.0413;0.9990;1.000
0.2740;-0.0103;0.0406;0.9997;1.001
0.2750;-0.0129;0.0406;1.0002;1.001
0.3470;-0.0156;0.0406;1.0004;1.001
0.3510;-0.0171;0.0408;1.0002;1.001
0.3550;-0.0169;0.0410;0.9992;1.000
0.3750;-0.0159;0.0410;0.9990;1.000
0.3780;-0.0149;0.0410;0.9990;1.000
0.3790;-0.0144;0.0415;0.9992;1.000
0.3810;-0.0164;0.0415;0.9997;1.001
0.3830;-0.0176;0.0415;0.9995;1.000
0.3850;-0.0186;0.0420;0.9997;1.001
0.4010;-0.0186;0.0413;0.9999;1.001
0.4030;-0.0178;0.0410;1.0007;1.002
0.4050;-0.0154;0.0415;1.0004;1.001
0.4060;-0.0132;0.0415;0.9997;1.001
0.4570;-0.0125;0.0420;0.9997;1.001
0.4740;-0.0117;0.0423;0.9985;0.999
0.4750;-0.0127;0.0418;0.9982;0.999
0.4770;-0.0142;0.0413;0.9995;1.000
0.4780;-0.0149;0.0413;0.9992;1.000
0.4800;-0.0156;0.0415;1.0002;1.001
0.4990;-0.0173;0.0420;1.0014;1.002
0.5010;-0.0169;0.0420;1.0002;1.001
0.5030;-0.0161;0.0418;0.9995;1.000
0.5480;-0.0147;0.0423;0.9992;1.000
0.5500;-0.0122;0.0425;0.9987;1.000
0.5640;-0.0120;0.0425;0.9992;1.000
0.5660;-0.0125;0.0423;0.9997;1.001
0.5680;-0.0137;0.0413;0.9997;1.001
0.5700;-0.0142;0.0408;0.9997;1.001
0.5710;-0.0127;0.0408;0.9975;0.998
0.5860;-0.0105;0.0410;0.9953;0.996
0.5870;-0.0103;0.0413;0.9965;0.997
0.6010;-0.0107;0.0410;0.9960;0.997
0.7240;-0.0127;0.0410;0.9977;0.999
0.7260;-0.0154;0.0415;1.0004;1.001
0.7410;-0.0154;0.0415;0.9992;1.000
0.7430;-0.0154;0.0415;0.9997;1.001
0.7440;-0.0156;0.0418;1.0007;1.002
0.7460;-0.0151;0.0415;1.0007;1.002
0.7480;-0.0156;0.0415;1.0002;1.001
0.7500;-0.0161;0.0418;1.0004;1.001
0.7510;-0.0164;0.0418;1.0002;1.001
0.7530;-0.0159;0.0418;0.9990;1.000
0.7540;-0.0151;0.0420;0.9990;1.000
0.7560;-0.0144;0.0420;0.9982;0.999
0.7570;-0.0156;0.0423;0.9992;1.000
0.7590;-0.0161;0.0418;0.9992;1.000
0.7600;-0.0166;0.0413;0.9990;1.000
0.7750;-0.0156;0.0415;0.9987;1.000
0.7760;-0.0127;0.0415;0.9968;0.998
0.7780;-0.0117;0.0418;0.9973;0.998
0.8280;-0.0125;0.0423;0.9982;0.999
0.8310;-0.0147;0.0420;0.9992;1.000
0.8440;-0.0166;0.0415;0.9997;1.001
0.8480;-0.0166;0.0418;1.0002;1.001
0.8490;-0.0149;0.0418;1.0002;1.001
0.8500;-0.0125;0.0410;0.9982;0.999
0.8520;-0.0105;0.0415;0.9987;1.000
0.8650;-0.0100;0.0418;0.9987;1.000
0.8670;-0.0090;0.0413;0.9973;0.998
0.9140;-0.0115;0.0418;0.9995;1.000
0.9290;-0.0137;0.0413;0.9997;1.001
0.9310;-0.0176;0.0408;0.9997;1.001
0.9320;-0.0220;0.0410;1.0012;1.002
0.9330;-0.0237;0.0413;1.0014;1.003
0.9350;-0.0227;0.0413;1.0004;1.002
0.9490;-0.0200;0.0413;0.9997;1.001
0.9510;-0.0151;0.0415;0.9990;1.000
1.0020;-0.0110;0.0413;0.9975;0.998
1.0170;-0.0095;0.0413;0.9973;0.998
1.0190;-0.0088;0.0413;0.9977;0.999
1.0210;-0.0098;0.0408;0.9977;0.999
1.0220;-0.0100;0.0406;0.9980;0.999
1.0230;-0.0115;0.0406;0.9992;1.000
1.0380;-0.0122;0.0406;0.9997;1.001
1.0400;-0.0129;0.0413;1.0004;1.001
1.0410;-0.0132;0.0418;1.0002;1.001
1.0440;-0.0122;0.0420;0.9990;1.000
1.0570;-0.0115;0.0420;0.9980;0.999
1.1050;-0.0112;0.0418;0.9985;0.999
1.1070;-0.0115;0.0418;0.9999;1.001
1.1210;-0.0098;0.0413;0.9995;1.000
1.1230;-0.0090;0.0415;0.9997;1.001
1.1260;-0.0083;0.0415;0.9987;1.000
1.1270;-0.0076;0.0413;0.9975;0.998
1.1280;-0.0100;0.0415;0.9990;1.000
1.1420;-0.0112;0.0413;0.9995;1.000
1.1560;-0.0125;0.0410;0.9997;1.001
1.1590;-0.0137;0.0410;1.0002;1.001
1.2060;-0.0159;0.0410;0.9999;1.001
1.2080;-0.0198;0.0415;1.0002;1.001
1.4300;-0.0237;0.0420;1.0007;1.002
1.4320;-0.0266;0.0425;0.9999;1.001
1.4330;-0.0259;0.0428;0.9995;1.001
1.4340;-0.0235;0.0425;0.9985;1.000
1.4380;-0.0210;0.0423;0.9982;0.999
1.4390;-0.0186;0.0420;0.9990;1.000
1.4410;-0.0176;0.0420;0.9995;1.000
1.4420;-0.0164;0.0423;0.9997;1.001
1.4440;-0.0151;0.0425;0.9992;1.000
1.4450;-0.0142;0.0425;0.9987;1.000
1.4470;-0.0142;0.0423;0.9982;0.999
1.4480;-0.0144;0.0418;0.9980;0.999
1.4490;-0.0151;0.0410;0.9982;0.999
1.4510;-0.0169;0.0408;0.9990;1.000
1.4520;-0.0176;0.0408;0.9997;1.001
1.4540;-0.0164;0.0410;0.9999;1.001
