time;gFx;gFy;gFz;TgF
0.0020;-0.0002;0.0340;0.9999;1.001
0.0170;-0.0010;0.0337;0.9999;1.001
0.0190;-0.0012;0.0340;0.9999;1.001
0.0200;-0.0024;0.0340;1.0002;1.001
0.0220;-0.0039;0.0347;1.0002;1.001
0.0230;-0.0044;0.0357;1.0002;1.001
0.0240;-0.0051;0.0359;0.9997;1.000
0.0270;-0.0051;0.0359;0.9992;1.000
0.0290;-0.0049;0.0352;0.9990;1.000
0.1740;-0.0046;0.0344;0.9990;1.000
0.1760;-0.0039;0.0344;0.9987;0.999
0.1930;-0.0039;0.0347;0.9985;0.999
0.1950;-0.0037;0.0344;0.9990;1.000
0.1980;-0.0037;0.0347;0.9987;0.999
0.1990;-0.0037;0.0347;0.9990;1.000
0.2010;-0.0042;0.0344;0.9995;1.000
0.2020;-0.0049;0.0347;0.9995;1.000
0.2030;-0.0054;0.0344;0.9999;1.001
0.2050;-0.0054;0.0340;1.0002;1.001
0.2060;-0.0049;0.0337;1.0002;1.001
0.2070;-0.0032;0.0335;0.9999;1.001
0.2090;-0.0022;0.0332;0.9997;1.000
0.2110;-0.0017;0.0332;0.9997;1.000
0.2120;-0.0020;0.0332;0.9999;1.000
0.2130;-0.0024;0.0332;0.9999;1.001
0.2270;-0.0022;0.0332;0.9999;1.000
0.2300;-0.0020;0.0337;1.0002;1.001
0.2320;-0.0012;0.0332;0.9999;1.000
0.2330;-0.0015;0.0327;0.9999;1.000
0.2340;-0.0015;0.0330;1.0002;1.001
0.2820;-0.0015;0.0327;1.0002;1.001
0.2840;-0.0005;0.0335;1.0007;1.001
0.3000;0.0005;0.0340;1.0012;1.002
0.3020;0.0012;0.0337;1.0014;1.002
0.3030;0.0017;0.0337;1.0012;1.002
0.3040;0.0012;0.0340;1.0004;1.001
0.3060;0.0007;0.0344;0.9997;1.000
0.3540;0.0005;0.0344;0.9990;1.000
0.3560;-0.0005;0.0347;0.9990;1.000
0.3720;-0.0012;0.0347;0.9992;1.000
0.3730;-0.0039;0.0344;0.9995;1.000
0.3750;-0.0076;0.0352;0.9995;1.000
0.3770;-0.0103;0.0354;0.9992;1.000
0.3790;-0.0117;0.0352;0.9995;1.000
0.3940;-0.0112;0.0352;0.9997;1.000
0.3960;-0.0073;0.0344;0.9997;1.000
0.3970;-0.0044;0.0337;0.9999;1.001
0.4450;-0.0027;0.0335;0.9997;1.000
0.4600;-0.0017;0.0332;0.9999;1.000
0.4620;-0.0027;0.0332;0.9997;1.000
0.4630;-0.0027;0.0332;0.9992;1.000
0.4650;-0.0024;0.0325;0.9990;0.999
0.4660;-0.0007;0.0330;0.9985;0.999
0.4810;0.0002;0.0335;0.9990;1.000
0.4830;0.0007;0.0349;1.0002;1.001
0.5320;0.0010;0.0371;1.0012;1.002
0.5330;0.0007;0.0359;1.0002;1.001
0.5480;-0.0005;0.0359;1.0004;1.001
0.5500;-0.0012;0.0349;0.9999;1.001
0.5510;-0.0027;0.0335;0.9992;1.000
0.5530;-0.0037;0.0349;1.0002;1.001
0.5540;-0.0037;0.0352;0.9999;1.001
0.5690;-0.0034;0.0347;0.9997;1.000
0.5710;-0.0027;0.0349;0.9995;1.000
0.5720;-0.0027;0.0344;0.9992;1.000
0.5870;-0.0027;0.0344;0.9985;0.999
0.7270;-0.0042;0.0349;0.9987;0.999
0.7280;-0.0054;0.0352;0.9992;1.000
0.7440;-0.0068;0.0349;0.9997;1.000
0.7460;-0.0083;0.0342;1.0007;1.001
0.7470;-0.0081;0.0340;1.0004;1.001
0.7490;-0.0059;0.0337;1.0004;1.001
0.7500;-0.0034;0.0340;1.0004;1.001
0.8340;-0.0012;0.0342;0.9999;1.001
0.8350;-0.0002;0.0344;0.9999;1.001
0.8370;-0.0012;0.0347;0.9997;1.000
0.8390;-0.0020;0.0344;0.9997;1.000
