time;gFx;gFy;gFz;TgF
0.0040;-0.1539;-0.0103;0.9916;1.004
0.0050;-0.1546;-0.0137;0.9960;1.008
0.0070;-0.1564;-0.0129;0.9938;1.006
0.0080;-0.1600;-0.0110;0.9914;1.004
0.0100;-0.1659;-0.0122;0.9916;1.005
0.0200;-0.1695;-0.0110;0.9916;1.006
0.1030;-0.1737;-0.0103;0.9912;1.006
0.1120;-0.1752;-0.0107;0.9907;1.006
0.1160;-0.1749;-0.0112;0.9899;1.005
0.1170;-0.1742;-0.0115;0.9897;1.005
0.1190;-0.1715;-0.0110;0.9899;1.005
0.1200;-0.1695;-0.0105;0.9904;1.005
0.1310;-0.1666;-0.0105;0.9912;1.005
0.1330;-0.1642;-0.0107;0.9914;1.005
0.1350;-0.1632;-0.0112;0.9919;1.005
0.1360;-0.1630;-0.0110;0.9916;1.005
0.1380;-0.1637;-0.0103;0.9912;1.005
0.1390;-0.1649;-0.0098;0.9912;1.005
0.1410;-0.1664;-0.0098;0.9912;1.005
0.1530;-0.1671;-0.0105;0.9919;1.006
0.1540;-0.1683;-0.0107;0.9921;1.006
0.1560;-0.1691;-0.0107;0.9916;1.006
0.1580;-0.1695;-0.0103;0.9909;1.005
0.1590;-0.1693;-0.0100;0.9907;1.005
0.1710;-0.1686;-0.0103;0.9909;1.005
0.1730;-0.1673;-0.0105;0.9909;1.005
0.1740;-0.1666;-0.0107;0.9909;1.005
0.1760;-0.1666;-0.0107;0.9904;1.004
0.1770;-0.1678;-0.0110;0.9897;1.004
0.1790;-0.1688;-0.0112;0.9899;1.004
0.1940;-0.1693;-0.0115;0.9902;1.005
0.1960;-0.1700;-0.0115;0.9899;1.004
0.3040;-0.1698;-0.0110;0.9909;1.005
0.3060;-0.1703;-0.0105;0.9914;1.006
0.3070;-0.1703;-0.0103;0.9921;1.007
0.3090;-0.1688;-0.0105;0.9926;1.007
0.3210;-0.1671;-0.0110;0.9921;1.006
0.3230;-0.1654;-0.0110;0.9916;1.005
0.3250;-0.1642;-0.0107;0.9909;1.004
0.3270;-0.1642;-0.0105;0.9909;1.004
0.3280;-0.1652;-0.0100;0.9912;1.005
0.3300;-0.1661;-0.0100;0.9914;1.005
0.3420;-0.1666;-0.0100;0.9914;1.005
0.3440;-0.1686;-0.0098;0.9912;1.005
0.3450;-0.1695;-0.0098;0.9907;1.005
0.3470;-0.1713;-0.0105;0.9904;1.005
0.3480;-0.1730;-0.0105;0.9902;1.005
0.3500;-0.1732;-0.0105;0.9902;1.005
0.3620;-0.1727;-0.0103;0.9909;1.006
0.3640;-0.1715;-0.0093;0.9914;1.006
0.3650;-0.1703;-0.0098;0.9914;1.006
0.4540;-0.1683;-0.0100;0.9919;1.006
0.4600;-0.1671;-0.0105;0.9916;1.006
0.4630;-0.1656;-0.0110;0.9912;1.005
0.4640;-0.1644;-0.0112;0.9912;1.005
0.5850;-0.1639;-0.0117;0.9907;1.004
0.5860;-0.1634;-0.0120;0.9907;1.004
0.5880;-0.1642;-0.0117;0.9907;1.004
0.5960;-0.1652;-0.0110;0.9909;1.005
0.5970;-0.1664;-0.0105;0.9914;1.005
0.5990;-0.1673;-0.0105;0.9907;1.005
0.6010;-0.1673;-0.0110;0.9902;1.004
0.6050;-0.1673;-0.0110;0.9899;1.004
0.6070;-0.1671;-0.0107;0.9894;1.004
0.6080;-0.1671;-0.0110;0.9897;1.004
0.6100;-0.1676;-0.0110;0.9899;1.004
0.6120;-0.1681;-0.0115;0.9899;1.004
0.6570;-0.1681;-0.0117;0.9902;1.004
0.6590;-0.1676;-0.0107;0.9907;1.005
0.6600;-0.1666;-0.0100;0.9912;1.005
0.6630;-0.1656;-0.0098;0.9914;1.005
0.6640;-0.1656;-0.0095;0.9914;1.005
0.6660;-0.1661;-0.0098;0.9912;1.005
0.6670;-0.1671;-0.0103;0.9914;1.005
0.6690;-0.1681;-0.0103;0.9919;1.006
0.6730;-0.1681;-0.0105;0.9921;1.006
0.6750;-0.1681;-0.0107;0.9921;1.006
0.6760;-0.1676;-0.0107;0.9916;1.006
0.6780;-0.1664;-0.0105;0.9912;1.005
0.6790;-0.1656;-0.0105;0.9912;1.005
0.6810;-0.1649;-0.0105;0.9914;1.005
0.6830;-0.1644;-0.0105;0.9912;1.005
0.6850;-0.1652;-0.0110;0.9914;1.005
0.6860;-0.1659;-0.0112;0.9914;1.005
0.6880;-0.1669;-0.0117;0.9919;1.006
0.6900;-0.1676;-0.0117;0.9926;1.007
0.6920;-0.1678;-0.0115;0.9929;1.007
0.6940;-0.1686;-0.0112;0.9926;1.007
0.6960;-0.1691;-0.0107;0.9919;1.006
0.6970;-0.1698;-0.0110;0.9914;1.006
0.6990;-0.1708;-0.0107;0.9909;1.006
0.7430;-0.1713;-0.0105;0.9909;1.006
0.7450;-0.1725;-0.0107;0.9907;1.006
0.7460;-0.1727;-0.0103;0.9904;1.005
0.7470;-0.1727;-0.0103;0.9902;1.005
0.7490;-0.1717;-0.0103;0.9899;1.005
0.7510;-0.1700;-0.0098;0.9897;1.004
0.7550;-0.1691;-0.0098;0.9894;1.004
0.7570;-0.1676;-0.0098;0.9897;1.004
0.7580;-0.1671;-0.0098;0.9899;1.004
0.7600;-0.1666;-0.0100;0.9904;1.004
0.8080;-0.1659;-0.0103;0.9909;1.005
0.8100;-0.1656;-0.0105;0.9909;1.005
0.8120;-0.1659;-0.0105;0.9914;1.005
0.8140;-0.1659;-0.0105;0.9916;1.005
0.8150;-0.1661;-0.0105;0.9919;1.006
0.8590;-0.1661;-0.0100;0.9926;1.006
0.8610;-0.1659;-0.0100;0.9916;1.005
0.8630;-0.1659;-0.0098;0.9909;1.005
0.8650;-0.1659;-0.0100;0.9909;1.005
0.8660;-0.1649;-0.0105;0.9909;1.005
0.8700;-0.1637;-0.0107;0.9921;1.006
0.8730;-0.1652;-0.0115;0.9912;1.005
0.8870;-0.1666;-0.0117;0.9894;1.003
0.8900;-0.1652;-0.0122;0.9904;1.004
0.8920;-0.1681;-0.0110;0.9897;1.004
0.8950;-0.1683;-0.0093;0.9912;1.005
0.8960;-0.1693;-0.0098;0.9916;1.006
0.9570;-0.1720;-0.0083;0.9907;1.006
0.9590;-0.1703;-0.0086;0.9914;1.006
0.9840;-0.1634;-0.0110;0.9912;1.005
1.0030;-0.1590;-0.0083;0.9921;1.005
1.0040;-0.1571;-0.0076;0.9914;1.004
1.0060;-0.1586;-0.0088;0.9914;1.004
1.0070;-0.1637;-0.0071;0.9904;1.004
1.0080;-0.1656;-0.0083;0.9892;1.003
