time;gFx;gFy;gFz;TgF
0.0020;-0.1586;-0.0125;0.9899;1.003
0.0240;-0.1586;-0.0120;0.9907;1.003
0.0260;-0.1595;-0.0122;0.9916;1.004
0.0280;-0.1588;-0.0120;0.9919;1.005
0.0580;-0.1586;-0.0112;0.9919;1.005
0.0610;-0.1573;-0.0107;0.9924;1.005
0.0630;-0.1581;-0.0105;0.9919;1.004
0.0640;-0.1583;-0.0103;0.9916;1.004
0.0830;-0.1581;-0.0105;0.9916;1.004
0.0840;-0.1578;-0.0107;0.9919;1.004
0.0860;-0.1576;-0.0112;0.9919;1.004
0.1370;-0.1578;-0.0117;0.9916;1.004
0.1410;-0.1581;-0.0115;0.9916;1.004
0.1420;-0.1583;-0.0115;0.9912;1.004
0.1590;-0.1583;-0.0110;0.9912;1.004
0.1610;-0.1588;-0.0105;0.9912;1.004
0.1620;-0.1590;-0.0103;0.9909;1.004
0.1640;-0.1593;-0.0098;0.9909;1.004
0.1660;-0.1590;-0.0103;0.9909;1.004
0.1840;-0.1583;-0.0107;0.9909;1.004
0.1860;-0.1583;-0.0110;0.9909;1.004
0.2330;-0.1583;-0.0117;0.9912;1.004
0.2350;-0.1588;-0.0115;0.9914;1.004
0.2380;-0.1588;-0.0112;0.9914;1.004
0.2530;-0.1583;-0.0117;0.9907;1.003
0.2550;-0.1578;-0.0117;0.9897;1.002
0.2570;-0.1571;-0.0115;0.9894;1.002
0.2590;-0.1568;-0.0112;0.9899;1.002
0.2610;-0.1566;-0.0110;0.9912;1.004
0.2760;-0.1568;-0.0112;0.9924;1.005
0.2790;-0.1573;-0.0117;0.9929;1.005
0.2950;-0.1571;-0.0122;0.9924;1.005
0.3120;-0.1573;-0.0122;0.9921;1.005
0.3140;-0.1571;-0.0117;0.9919;1.004
0.3300;-0.1573;-0.0110;0.9916;1.004
0.3470;-0.1581;-0.0107;0.9914;1.004
0.3490;-0.1583;-0.0110;0.9909;1.004
0.3520;-0.1586;-0.0115;0.9909;1.004
0.3540;-0.1581;-0.0125;0.9909;1.004
0.3690;-0.1578;-0.0129;0.9914;1.004
0.3850;-0.1576;-0.0122;0.9921;1.005
0.3870;-0.1573;-0.0117;0.9924;1.005
0.4030;-0.1573;-0.0110;0.9926;1.005
