time;gFx;gFy;gFz;TgF
0.0030;-0.1564;-0.0142;0.9948;1.007
0.0170;-0.1534;-0.0154;0.9926;1.005
0.0190;-0.1510;-0.0161;0.9904;1.002
0.0210;-0.1505;-0.0156;0.9916;1.003
0.0230;-0.1510;-0.0149;0.9929;1.004
0.0240;-0.1546;-0.0147;0.9926;1.005
0.0460;-0.1578;-0.0149;0.9924;1.005
0.0480;-0.1610;-0.0156;0.9912;1.004
0.0500;-0.1632;-0.0166;0.9899;1.003
0.0520;-0.1622;-0.0164;0.9902;1.004
0.0980;-0.1595;-0.0166;0.9904;1.003
0.1130;-0.1568;-0.0164;0.9916;1.004
0.1150;-0.1524;-0.0154;0.9936;1.005
0.1170;-0.1490;-0.0154;0.9933;1.005
0.1190;-0.1473;-0.0149;0.9931;1.004
0.1210;-0.1473;-0.0147;0.9931;1.004
0.1360;-0.1505;-0.0149;0.9919;1.003
0.1380;-0.1537;-0.0149;0.9916;1.004
0.1400;-0.1581;-0.0147;0.9916;1.004
0.1410;-0.1608;-0.0147;0.9909;1.004
0.1880;-0.1620;-0.0149;0.9907;1.004
0.2020;-0.1627;-0.0147;0.9904;1.004
0.2040;-0.1622;-0.0147;0.9899;1.003
0.2060;-0.1610;-0.0139;0.9907;1.004
0.2070;-0.1595;-0.0139;0.9916;1.004
0.2090;-0.1586;-0.0144;0.9926;1.005
0.2230;-0.1568;-0.0147;0.9936;1.006
0.2250;-0.1551;-0.0151;0.9933;1.006
0.2390;-0.1537;-0.0149;0.9929;1.005
0.2910;-0.1520;-0.0147;0.9924;1.004
0.2930;-0.1515;-0.0151;0.9919;1.003
0.3070;-0.1517;-0.0156;0.9919;1.004
0.3090;-0.1522;-0.0156;0.9919;1.004
0.3110;-0.1529;-0.0156;0.9919;1.004
0.3540;-0.1539;-0.0149;0.9921;1.004
0.3560;-0.1546;-0.0139;0.9921;1.004
0.3700;-0.1551;-0.0134;0.9921;1.004
0.3720;-0.1561;-0.0129;0.9912;1.003
0.3740;-0.1564;-0.0129;0.9907;1.003
0.3760;-0.1568;-0.0132;0.9904;1.003
0.3780;-0.1573;-0.0134;0.9907;1.003
0.3790;-0.1571;-0.0139;0.9912;1.004
0.3930;-0.1568;-0.0142;0.9909;1.003
0.3950;-0.1559;-0.0149;0.9919;1.004
0.3970;-0.1546;-0.0151;0.9921;1.004
0.4450;-0.1542;-0.0144;0.9929;1.005
0.4590;-0.1537;-0.0137;0.9936;1.005
0.4610;-0.1542;-0.0129;0.9931;1.005
0.4630;-0.1551;-0.0132;0.9931;1.005
0.4640;-0.1556;-0.0142;0.9933;1.006
0.4660;-0.1559;-0.0149;0.9933;1.006
0.4800;-0.1556;-0.0147;0.9931;1.005
0.4820;-0.1551;-0.0139;0.9926;1.005
0.5280;-0.1544;-0.0132;0.9924;1.004
0.5420;-0.1544;-0.0132;0.9929;1.005
0.5440;-0.1539;-0.0132;0.9933;1.005
0.5460;-0.1534;-0.0132;0.9938;1.006
0.5480;-0.1532;-0.0139;0.9936;1.005
0.5500;-0.1527;-0.0137;0.9936;1.005
0.5640;-0.1529;-0.0139;0.9938;1.006
0.6110;-0.1537;-0.0142;0.9931;1.005
0.6130;-0.1544;-0.0139;0.9931;1.005
0.6270;-0.1549;-0.0142;0.9924;1.004
0.6290;-0.1554;-0.0142;0.9924;1.005
0.6300;-0.1546;-0.0144;0.9926;1.005
0.6320;-0.1539;-0.0144;0.9926;1.005
0.6340;-0.1529;-0.0142;0.9936;1.005
0.6480;-0.1524;-0.0142;0.9933;1.005
0.6950;-0.1527;-0.0139;0.9938;1.006
0.6970;-0.1534;-0.0134;0.9936;1.005
0.7110;-0.1544;-0.0132;0.9924;1.004
0.7130;-0.1559;-0.0132;0.9919;1.004
0.7150;-0.1578;-0.0132;0.9912;1.004
0.7160;-0.1593;-0.0134;0.9912;1.004
0.7180;-0.1617;-0.0134;0.9907;1.004
0.7320;-0.1622;-0.0134;0.9909;1.004
0.7340;-0.1622;-0.0134;0.9914;1.005
0.7480;-0.1598;-0.0139;0.9921;1.005
0.7950;-0.1554;-0.0139;0.9931;1.005
0.7970;-0.1520;-0.0137;0.9931;1.005
0.8110;-0.1485;-0.0134;0.9933;1.004
0.8130;-0.1485;-0.0129;0.9933;1.004
0.8150;-0.1495;-0.0132;0.9936;1.005
0.8160;-0.1510;-0.0132;0.9933;1.005
0.8180;-0.1524;-0.0132;0.9929;1.005
0.8380;-0.1532;-0.0134;0.9929;1.005
0.8520;-0.1559;-0.0132;0.9916;1.004
0.8540;-0.1581;-0.0132;0.9909;1.004
0.8560;-0.1608;-0.0139;0.9921;1.005
0.8580;-0.1593;-0.0134;0.9921;1.005
0.9410;-0.1559;-0.0134;0.9933;1.006
0.9550;-0.1502;-0.0142;0.9938;1.005
0.9570;-0.1463;-0.0132;0.9941;1.005
0.9590;-0.1463;-0.0129;0.9951;1.006
0.9610;-0.1473;-0.0134;0.9946;1.006
0.9630;-0.1505;-0.0132;0.9948;1.006
0.9640;-0.1515;-0.0139;0.9938;1.005
0.9660;-0.1527;-0.0144;0.9926;1.004
0.9680;-0.1529;-0.0142;0.9929;1.005
0.9820;-0.1544;-0.0139;0.9929;1.005
0.9840;-0.1564;-0.0142;0.9921;1.004
0.9860;-0.1581;-0.0147;0.9916;1.004
0.9870;-0.1590;-0.0149;0.9912;1.004
1.0340;-0.1593;-0.0147;0.9914;1.004
1.0490;-0.1590;-0.0139;0.9919;1.005
1.0500;-0.1593;-0.0137;0.9916;1.004
1.0520;-0.1603;-0.0137;0.9914;1.004
1.0540;-0.1610;-0.0142;0.9914;1.004
1.0560;-0.1603;-0.0154;0.9914;1.004
1.0700;-0.1590;-0.0161;0.9921;1.005
1.0720;-0.1576;-0.0156;0.9926;1.005
1.1180;-0.1551;-0.0154;0.9921;1.004
1.1200;-0.1542;-0.0144;0.9916;1.004
1.1340;-0.1524;-0.0139;0.9924;1.004
1.1360;-0.1512;-0.0137;0.9929;1.004
1.1380;-0.1507;-0.0132;0.9936;1.005
1.1400;-0.1515;-0.0132;0.9943;1.006
1.1540;-0.1515;-0.0132;0.9936;1.005
1.1560;-0.1512;-0.0142;0.9933;1.005
1.2040;-0.1534;-0.0137;0.9929;1.005
1.2060;-0.1544;-0.0127;0.9924;1.004
1.2200;-0.1564;-0.0127;0.9909;1.003
1.2220;-0.1556;-0.0127;0.9929;1.005
1.2230;-0.1524;-0.0142;0.9951;1.007
1.2250;-0.1517;-0.0144;0.9938;1.005
1.2270;-0.1500;-0.0147;0.9960;1.007
1.2410;-0.1510;-0.0149;0.9948;1.006
1.2550;-0.1534;-0.0142;0.9924;1.004
1.2570;-0.1537;-0.0154;0.9933;1.005
1.3040;-0.1554;-0.0151;0.9921;1.004
1.3060;-0.1561;-0.0142;0.9919;1.004
1.3210;-0.1564;-0.0139;0.9919;1.004
1.3230;-0.1564;-0.0129;0.9919;1.004
1.3240;-0.1561;-0.0127;0.9924;1.005
1.4770;-0.1568;-0.0132;0.9919;1.004
1.4790;-0.1578;-0.0139;0.9929;1.005
1.4930;-0.1571;-0.0149;0.9931;1.006
1.4960;-0.1566;-0.0151;0.9929;1.005
1.5000;-0.1564;-0.0144;0.9924;1.005
1.5030;-0.1546;-0.0149;0.9921;1.004
1.5070;-0.1546;-0.0151;0.9926;1.005
1.5100;-0.1546;-0.0144;0.9933;1.005
1.5140;-0.1537;-0.0154;0.9936;1.006
1.5170;-0.1529;-0.0151;0.9931;1.005
1.5200;-0.1510;-0.0144;0.9936;1.005
1.5230;-0.1490;-0.0147;0.9938;1.005
1.5270;-0.1473;-0.0147;0.9943;1.005
1.5310;-0.1463;-0.0142;0.9953;1.006
1.5340;-0.1466;-0.0142;0.9953;1.006
1.5370;-0.1488;-0.0134;0.9938;1.005
1.5410;-0.1556;-0.0142;0.9936;1.006
1.5440;-0.1617;-0.0154;0.9929;1.006
1.5460;-0.1698;-0.0149;0.9914;1.006
1.5480;-0.1744;-0.0166;0.9912;1.007
1.5620;-0.1749;-0.0164;0.9902;1.006
1.5640;-0.1691;-0.0161;0.9924;1.007
1.5660;-0.1630;-0.0156;0.9904;1.004
1.5680;-0.1583;-0.0137;0.9887;1.001
1.5700;-0.1490;-0.0142;0.9921;1.003
1.5710;-0.1461;-0.0147;0.9924;1.003
1.6190;-0.1402;-0.0147;0.9951;1.005
1.6200;-0.1351;-0.0166;0.9970;1.006
1.6670;-0.1346;-0.0161;0.9938;1.003
1.6690;-0.1397;-0.0149;0.9924;1.002
1.6700;-0.1500;-0.0164;0.9914;1.003
1.6720;-0.1595;-0.0159;0.9912;1.004
1.6740;-0.1669;-0.0149;0.9924;1.006
1.6880;-0.1683;-0.0156;0.9902;1.005
1.6890;-0.1659;-0.0161;0.9899;1.004
1.6910;-0.1605;-0.0139;0.9916;1.005
1.6930;-0.1573;-0.0122;0.9919;1.004
1.6950;-0.1539;-0.0134;0.9912;1.003
1.6960;-0.1495;-0.0122;0.9943;1.006
1.7480;-0.1480;-0.0137;0.9955;1.007
1.7500;-0.1473;-0.0159;0.9931;1.004
1.7640;-0.1476;-0.0142;0.9955;1.007
1.7660;-0.1488;-0.0149;0.9941;1.005
1.7680;-0.1524;-0.0151;0.9919;1.004
1.7700;-0.1559;-0.0149;0.9926;1.005
1.7710;-0.1588;-0.0147;0.9912;1.004
1.7860;-0.1610;-0.0142;0.9909;1.004
1.8060;-0.1600;-0.0144;0.9907;1.004
1.8530;-0.1586;-0.0144;0.9912;1.004
1.8550;-0.1568;-0.0147;0.9926;1.005
1.8570;-0.1559;-0.0151;0.9929;1.005
1.8590;-0.1551;-0.0147;0.9929;1.005
1.8730;-0.1546;-0.0142;0.9933;1.005
1.8750;-0.1544;-0.0134;0.9929;1.005
1.8770;-0.1534;-0.0137;0.9921;1.004
1.8790;-0.1539;-0.0137;0.9926;1.005
1.8800;-0.1542;-0.0137;0.9926;1.005
1.8940;-0.1539;-0.0144;0.9924;1.004
1.8970;-0.1554;-0.0139;0.9926;1.005
1.9440;-0.1559;-0.0144;0.9926;1.005
1.9460;-0.1568;-0.0142;0.9916;1.004
1.9600;-0.1583;-0.0132;0.9909;1.004
1.9620;-0.1598;-0.0129;0.9907;1.004
1.9640;-0.1605;-0.0125;0.9907;1.004
1.9660;-0.1608;-0.0127;0.9916;1.005
1.9680;-0.1598;-0.0134;0.9924;1.005
1.9820;-0.1564;-0.0134;0.9929;1.005
2.0290;-0.1537;-0.0137;0.9931;1.005
2.0310;-0.1505;-0.0139;0.9931;1.005
2.0450;-0.1500;-0.0137;0.9936;1.005
2.0470;-0.1510;-0.0137;0.9936;1.005
2.0490;-0.1524;-0.0134;0.9933;1.005
2.0510;-0.1549;-0.0134;0.9931;1.005
2.0530;-0.1559;-0.0134;0.9926;1.005
2.0670;-0.1568;-0.0134;0.9924;1.005
2.1140;-0.1573;-0.0137;0.9924;1.005
2.1160;-0.1566;-0.0139;0.9921;1.005
2.1300;-0.1564;-0.0144;0.9924;1.005
2.1320;-0.1561;-0.0149;0.9924;1.005
2.1340;-0.1554;-0.0151;0.9926;1.005
2.1360;-0.1549;-0.0151;0.9929;1.005
2.1380;-0.1539;-0.0149;0.9926;1.005
2.1520;-0.1524;-0.0147;0.9929;1.005
2.1540;-0.1517;-0.0147;0.9921;1.004
2.1560;-0.1515;-0.0147;0.9919;1.003
2.1700;-0.1512;-0.0147;0.9916;1.003
2.1720;-0.1515;-0.0147;0.9909;1.003
2.2180;-0.1524;-0.0144;0.9914;1.003
2.2330;-0.1534;-0.0147;0.9919;1.004
2.2350;-0.1544;-0.0149;0.9924;1.004
2.2370;-0.1561;-0.0151;0.9926;1.005
2.2380;-0.1571;-0.0154;0.9926;1.005
2.2400;-0.1581;-0.0151;0.9926;1.005
2.2540;-0.1593;-0.0144;0.9929;1.006
2.2560;-0.1595;-0.0147;0.9931;1.006
2.2700;-0.1595;-0.0151;0.9931;1.006
2.2720;-0.1590;-0.0147;0.9929;1.006
2.3170;-0.1571;-0.0151;0.9926;1.005
2.3310;-0.1554;-0.0147;0.9926;1.005
2.3330;-0.1532;-0.0139;0.9931;1.005
2.4620;-0.1515;-0.0142;0.9938;1.005
2.4640;-0.1515;-0.0142;0.9941;1.006
2.4670;-0.1515;-0.0142;0.9936;1.005
2.4820;-0.1520;-0.0144;0.9926;1.004
2.4840;-0.1524;-0.0142;0.9919;1.004
2.4860;-0.1527;-0.0142;0.9914;1.003
2.4880;-0.1529;-0.0142;0.9916;1.003
2.4900;-0.1534;-0.0142;0.9921;1.004
2.4910;-0.1544;-0.0147;0.9924;1.004
2.4930;-0.1551;-0.0147;0.9926;1.005
2.4950;-0.1556;-0.0147;0.9929;1.005
2.4980;-0.1559;-0.0147;0.9929;1.005
2.5010;-0.1556;-0.0147;0.9926;1.005
2.5040;-0.1549;-0.0144;0.9926;1.005
2.5070;-0.1544;-0.0142;0.9926;1.005
2.5100;-0.1544;-0.0147;0.9929;1.005
2.5120;-0.1537;-0.0144;0.9933;1.005
2.5150;-0.1534;-0.0144;0.9936;1.005
2.5370;-0.1542;-0.0142;0.9933;1.005
2.5400;-0.1542;-0.0139;0.9936;1.006
2.5430;-0.1549;-0.0144;0.9938;1.006
2.5460;-0.1556;-0.0144;0.9936;1.006
2.5480;-0.1551;-0.0154;0.9936;1.006
2.5940;-0.1549;-0.0156;0.9929;1.005
2.5960;-0.1554;-0.0154;0.9926;1.005
2.5980;-0.1559;-0.0156;0.9929;1.005
2.6110;-0.1559;-0.0154;0.9931;1.005
2.6130;-0.1556;-0.0149;0.9936;1.006
2.6150;-0.1546;-0.0149;0.9936;1.006
2.6170;-0.1532;-0.0147;0.9938;1.006
2.6190;-0.1515;-0.0142;0.9943;1.006
2.6860;-0.1500;-0.0139;0.9946;1.006
2.6890;-0.1505;-0.0129;0.9941;1.005
2.7040;-0.1515;-0.0129;0.9933;1.005
2.7060;-0.1534;-0.0129;0.9926;1.004
2.7080;-0.1571;-0.0127;0.9919;1.004
2.7100;-0.1588;-0.0132;0.9919;1.005
2.7120;-0.1593;-0.0142;0.9921;1.005
2.7140;-0.1610;-0.0137;0.9926;1.006
2.7150;-0.1610;-0.0134;0.9931;1.006
2.7170;-0.1593;-0.0149;0.9929;1.006
2.7310;-0.1583;-0.0139;0.9931;1.006
2.7330;-0.1561;-0.0144;0.9931;1.005
2.7800;-0.1534;-0.0151;0.9921;1.004
2.7940;-0.1524;-0.0144;0.9931;1.005
2.7960;-0.1520;-0.0149;0.9933;1.005
2.7980;-0.1517;-0.0147;0.9931;1.005
2.8000;-0.1515;-0.0144;0.9941;1.006
2.8020;-0.1512;-0.0139;0.9938;1.005
2.8150;-0.1512;-0.0134;0.9933;1.005
2.8170;-0.1510;-0.0137;0.9933;1.005
2.8630;-0.1520;-0.0137;0.9933;1.005
2.8770;-0.1534;-0.0139;0.9931;1.005
2.8790;-0.1546;-0.0142;0.9931;1.005
2.8810;-0.1566;-0.0147;0.9931;1.005
2.8830;-0.1578;-0.0149;0.9921;1.005
2.8840;-0.1586;-0.0149;0.9914;1.004
2.8980;-0.1593;-0.0144;0.9916;1.004
2.9000;-0.1595;-0.0147;0.9914;1.004
2.9460;-0.1598;-0.0151;0.9919;1.005
2.9480;-0.1598;-0.0149;0.9924;1.005
2.9620;-0.1598;-0.0151;0.9919;1.005
2.9640;-0.1578;-0.0149;0.9921;1.005
2.9650;-0.1551;-0.0137;0.9926;1.005
2.9670;-0.1527;-0.0132;0.9931;1.005
2.9810;-0.1505;-0.0142;0.9933;1.005
2.9830;-0.1502;-0.0137;0.9938;1.005
2.9850;-0.1507;-0.0142;0.9941;1.006
2.9870;-0.1522;-0.0147;0.9933;1.005
3.0340;-0.1539;-0.0144;0.9933;1.005
3.0470;-0.1554;-0.0151;0.9929;1.005
3.0490;-0.1566;-0.0154;0.9921;1.005
3.0510;-0.1571;-0.0156;0.9926;1.005
3.0530;-0.1571;-0.0151;0.9926;1.005
3.0540;-0.1559;-0.0149;0.9929;1.005
3.0680;-0.1549;-0.0151;0.9933;1.005
3.0700;-0.1546;-0.0149;0.9936;1.006
3.0840;-0.1537;-0.0151;0.9936;1.006
3.0870;-0.1539;-0.0151;0.9933;1.005
