time;gFx;gFy;gFz;TgF
0.0030;-0.1888;-0.0154;1.0085;1.026
0.0050;-0.1886;-0.0186;1.0065;1.024
0.0440;-0.1915;-0.0232;0.9909;1.010
0.0470;-0.1947;-0.0276;0.9799;0.999
0.0480;-0.1964;-0.0232;0.9841;1.004
0.0700;-0.1984;-0.0210;0.9853;1.005
0.0730;-0.1989;-0.0210;0.9890;1.009
0.0750;-0.1991;-0.0213;0.9880;1.008
0.0890;-0.1981;-0.0225;0.9853;1.005
0.0910;-0.1959;-0.0205;0.9870;1.006
0.0930;-0.1937;-0.0205;0.9868;1.006
0.0950;-0.1906;-0.0208;0.9860;1.004
0.1340;-0.1869;-0.0205;0.9875;1.005
0.1480;-0.1842;-0.0213;0.9875;1.005
0.1500;-0.1808;-0.0220;0.9870;1.004
0.1520;-0.1783;-0.0225;0.9870;1.003
0.1540;-0.1776;-0.0222;0.9870;1.003
0.1560;-0.1764;-0.0220;0.9868;1.003
0.1700;-0.1759;-0.0217;0.9870;1.003
0.1730;-0.1759;-0.0215;0.9872;1.003
0.2120;-0.1766;-0.0210;0.9868;1.003
0.2270;-0.1779;-0.0205;0.9865;1.003
0.2280;-0.1805;-0.0205;0.9865;1.003
0.2300;-0.1840;-0.0208;0.9865;1.004
0.2310;-0.1867;-0.0215;0.9868;1.004
0.2450;-0.1901;-0.0215;0.9865;1.005
0.2470;-0.1920;-0.0210;0.9860;1.005
0.2490;-0.1935;-0.0205;0.9853;1.004
0.2630;-0.1940;-0.0200;0.9848;1.004
0.2650;-0.1937;-0.0203;0.9848;1.004
0.3050;-0.1925;-0.0205;0.9850;1.004
0.3190;-0.1896;-0.0210;0.9860;1.004
0.3210;-0.1876;-0.0215;0.9868;1.005
0.3230;-0.1849;-0.0217;0.9870;1.004
0.3240;-0.1835;-0.0215;0.9875;1.005
0.3380;-0.1830;-0.0208;0.9875;1.005
0.4900;-0.1827;-0.0208;0.9872;1.004
0.4920;-0.1835;-0.0205;0.9877;1.005
0.4940;-0.1840;-0.0208;0.9877;1.005
0.4960;-0.1854;-0.0208;0.9870;1.004
0.4980;-0.1867;-0.0200;0.9865;1.004
0.4990;-0.1876;-0.0203;0.9860;1.004
0.5000;-0.1888;-0.0205;0.9855;1.004
0.5020;-0.1891;-0.0210;0.9858;1.004
0.5040;-0.1881;-0.0210;0.9863;1.004
0.5060;-0.1867;-0.0213;0.9863;1.004
0.5070;-0.1849;-0.0215;0.9863;1.004
0.5090;-0.1827;-0.0215;0.9865;1.004
0.5110;-0.1818;-0.0220;0.9863;1.003
0.5130;-0.1813;-0.0217;0.9863;1.003
0.5150;-0.1813;-0.0217;0.9865;1.003
0.5160;-0.1818;-0.0220;0.9865;1.003
0.5180;-0.1827;-0.0217;0.9865;1.004
0.5310;-0.1845;-0.0217;0.9865;1.004
0.5340;-0.1857;-0.0215;0.9863;1.004
0.5360;-0.1876;-0.0213;0.9863;1.004
0.5870;-0.1896;-0.0213;0.9860;1.004
0.5890;-0.1908;-0.0210;0.9858;1.004
0.6050;-0.1928;-0.0210;0.9858;1.005
0.6060;-0.1932;-0.0215;0.9858;1.005
0.6080;-0.1932;-0.0222;0.9863;1.005
0.6110;-0.1923;-0.0222;0.9863;1.005
0.6130;-0.1893;-0.0220;0.9865;1.005
0.6150;-0.1871;-0.0213;0.9865;1.004
0.6540;-0.1837;-0.0205;0.9868;1.004
0.6560;-0.1813;-0.0205;0.9875;1.004
0.6710;-0.1796;-0.0208;0.9875;1.004
0.6730;-0.1779;-0.0210;0.9880;1.004
0.6760;-0.1774;-0.0213;0.9882;1.004
0.6770;-0.1774;-0.0217;0.9882;1.004
0.6790;-0.1796;-0.0217;0.9880;1.004
0.6930;-0.1818;-0.0217;0.9872;1.004
0.7340;-0.1847;-0.0217;0.9863;1.004
0.7360;-0.1879;-0.0217;0.9853;1.003
0.7510;-0.1893;-0.0220;0.9848;1.003
0.7530;-0.1908;-0.0215;0.9850;1.004
0.7540;-0.1915;-0.0210;0.9855;1.004
0.7560;-0.1906;-0.0208;0.9863;1.005
0.7590;-0.1886;-0.0200;0.9868;1.005
0.7740;-0.1867;-0.0200;0.9865;1.004
0.8130;-0.1837;-0.0203;0.9863;1.003
0.8150;-0.1810;-0.0203;0.9865;1.003
0.8300;-0.1793;-0.0208;0.9870;1.003
0.8320;-0.1788;-0.0208;0.9872;1.004
0.8340;-0.1803;-0.0208;0.9875;1.004
0.8490;-0.1825;-0.0205;0.9872;1.004
0.8510;-0.1864;-0.0200;0.9870;1.005
0.8530;-0.1896;-0.0203;0.9863;1.005
0.8540;-0.1918;-0.0203;0.9855;1.004
0.8700;-0.1937;-0.0205;0.9848;1.004
0.9460;-0.1940;-0.0210;0.9841;1.003
0.9480;-0.1935;-0.0213;0.9843;1.003
0.9610;-0.1920;-0.0215;0.9850;1.004
0.9630;-0.1908;-0.0215;0.9858;1.004
0.9650;-0.1881;-0.0208;0.9863;1.004
0.9660;-0.1862;-0.0203;0.9872;1.005
0.9680;-0.1852;-0.0198;0.9877;1.005
0.9690;-0.1837;-0.0195;0.9875;1.005
0.9710;-0.1842;-0.0203;0.9875;1.005
0.9840;-0.1842;-0.0208;0.9868;1.004
0.9860;-0.1847;-0.0213;0.9863;1.004
0.9870;-0.1862;-0.0213;0.9865;1.004
1.0310;-0.1871;-0.0210;0.9868;1.005
1.0440;-0.1881;-0.0205;0.9868;1.005
1.0460;-0.1886;-0.0200;0.9865;1.005
1.0480;-0.1884;-0.0198;0.9865;1.005
1.0490;-0.1871;-0.0200;0.9863;1.004
1.0510;-0.1859;-0.0205;0.9863;1.004
1.0650;-0.1827;-0.0210;0.9872;1.004
1.0670;-0.1813;-0.0203;0.9885;1.005
1.0830;-0.1808;-0.0191;0.9899;1.006
1.0860;-0.1820;-0.0188;0.9899;1.007
1.1620;-0.1840;-0.0188;0.9880;1.005
1.1770;-0.1845;-0.0200;0.9855;1.003
1.1790;-0.1876;-0.0200;0.9855;1.003
1.1800;-0.1891;-0.0191;0.9870;1.005
1.1820;-0.1893;-0.0205;0.9882;1.006
1.1840;-0.1908;-0.0181;0.9904;1.009
1.1860;-0.1896;-0.0169;0.9902;1.008
1.1870;-0.1857;-0.0195;0.9870;1.004
1.1890;-0.1825;-0.0164;0.9899;1.007
1.1900;-0.1781;-0.0171;0.9919;1.008
1.2050;-0.1761;-0.0203;0.9880;1.004
1.2460;-0.1783;-0.0186;0.9912;1.007
1.2480;-0.1823;-0.0200;0.9894;1.006
1.2620;-0.1825;-0.0227;0.9870;1.004
1.2650;-0.1803;-0.0230;0.9904;1.007
1.2670;-0.1793;-0.0230;0.9894;1.006
